feature,laymen_name
actvsubs,Number of active subscribers in household
adults,Number of adults in household
area_ATLANTIC_SOUTH_AREA,Geogrpahic area belongs/not belongs to ATLANTIC_SOUTH_AREA
area_CALIFORNIA_NORTH_AREA,Geogrpahic area belongs/not belongs to CALIFORNIA_NORTH_AREA
area_CENTRAL_SOUTH_TEXAS_AREA,Geogrpahic area belongs/not belongs to CENTRAL_SOUTH_TEXAS_AREA
area_CHICAGO_AREA,Geogrpahic area belongs/not belongs to CHICAGO_AREA
area_DALLAS_AREA,Geogrpahic area belongs/not belongs to DALLAS_AREA
area_DC_MARYLAND_VIRGINIA_AREA,Geogrpahic area belongs/not belongs to DC_MARYLAND_VIRGINIA_AREA
area_GREAT_LAKES_AREA,Geogrpahic area belongs/not belongs to GREAT_LAKES_AREA
area_HOUSTON_AREA,Geogrpahic area belongs/not belongs to HOUSTON_AREA
area_LOS_ANGELES_AREA,Geogrpahic area belongs/not belongs to LOS_ANGELES_AREA
area_MIDWEST_AREA,Geogrpahic area belongs/not belongs to MIDWEST_AREA
area_NEW_ENGLAND_AREA,Geogrpahic area belongs/not belongs to NEW_ENGLAND_AREA
area_NEW_YORK_CITY_AREA,Geogrpahic area belongs/not belongs to NEW_YORK_CITY_AREA
area_NORTH_FLORIDA_AREA,Geogrpahic area belongs/not belongs to NORTH_FLORIDA_AREA
area_NORTHWEST_ROCKY_MOUNTAIN_AREA,Geogrpahic area belongs/not belongs to NORTHWEST_ROCKY_MOUNTAIN_AREA
area_OHIO_AREA,Geogrpahic area belongs/not belongs to OHIO_AREA
area_PHILADELPHIA_AREA,Geogrpahic area belongs/not belongs to PHILADELPHIA_AREA
area_SOUTH_FLORIDA_AREA,Geogrpahic area belongs/not belongs to SOUTH_FLORIDA_AREA
area_SOUTHWEST_AREA,Geogrpahic area belongs/not belongs to SOUTHWEST_AREA
area_TENNESSEE_AREA,Geogrpahic area belongs/not belongs to TENNESSEE_AREA
asl_flag_N,Account spending limit belongs/not belongs to No
asl_flag_Y,Account spending limit belongs/not belongs to Yes
blck_vce_Mean,Mean number of blocked (failed) voice calls
callwait_Mean,Mean number of call waiting calls
change_mou,Percentage change in monthly minutes of use vs previous three month average
change_rev,Percentage change in monthly revenue vs previous three month average
crclscod_A,Credit class code belongs/not belongs to A
crclscod_AA,Credit class code belongs/not belongs to AA
crclscod_B,Credit class code belongs/not belongs to B
crclscod_BA,Credit class code belongs/not belongs to BA
crclscod_C,Credit class code belongs/not belongs to C
crclscod_CA,Credit class code belongs/not belongs to CS
crclscod_DA,Credit class code belongs/not belongs to DA
crclscod_EA,Credit class code belongs/not belongs to EA
